cvemodeloeducativo,cveplanestudio,cvemodulo,grado,cvetrayecto,cvetipomodulo,consecutivoorden,estado,creditos,descripcion,descorta,siglema
2023,CURT23,APSU20,6,XXX,CL,6,A,10,Análisis químicos en el proceso de curtido,Análisis químicos en el proceso de curtido,APSU
2023,CURT23,CUVE20,6,XXX,CL,7,A,8,Curtido vegetal,Curtido vegetal,CUVE
2023,CURT23,ATSU20,6,XXX,CL,8,A,10,Aplicación de técnicas de supervisión,Aplicación de técnicas de supervisión,ATSU
2023,CURT23,SPSH20,6,SSH,TT,9,A,10,Seguimiento de planes de seguridad e higiene,Seguimiento de planes de seguridad e higiene,SPSH
2023,CURT23,MARC20,6,TRE,TT,10,A,10,Manejo de residuos contaminantes,Manejo de residuos contaminantes,MARC
2023,CURT23,APIS20,6,INC,TT,11,A,10,Aplicación de los procedimientos del sistema ISO 9001-2000,Aplicación de los procedimientos del sistema ISO 9001-2000,APIS
2023,DENT23,CCVE00,1,XXX,CF,1,A,11.25,Comunicación para la comprensión y valoración del entorno,Comunicación para la comprensión y valoración del entorno,CCVE
2023,DENT23,INII00,1,XXX,CF,2,A,9,Interacción inicial en inglés,Interacción inicial en inglés,INII
2023,DENT23,PEMA00,1,XXX,CF,3,A,11.25,Pensamiento matemático I,Pensamiento matemático I,PEMA
2023,DENT23,ATDI00,1,XXX,CF,4,A,11.25,Aplicación de tecnologías digitales,Aplicación de tecnologías digitales,ATDI
2023,DENT23,IDME00,1,XXX,CF,5,A,9,Identificación de materia y energía en el entorno,Identificación de materia y energía en el entorno,IDME
2023,DENT23,IMCH00,1,XXX,CF,6,A,15.75,Identificación de sí mismo en el contexto humanístico ,Identificación de sí mismo en el contexto humanístico ,IMCH
2023,DENT23,ITSO00,1,XXX,CF,7,A,6.75,Interacción social I,Interacción social I,ITSO
2023,DENT23,FOSO00,1,XXX,CA,8,A,4.5,Formación socioemocional I,Formación socioemocional I,FOSO
2023,DENT23,CPAT00,2,XXX,CF,1,A,6.75,Comunicación para la argumentación de textos orales y escritos,Comunicación para la argumentación de textos orales y escritos,CPAT
2023,DENT23,INAI00,2,XXX,CF,2,A,6.75,Interacción activa en inglés,Interacción activa en inglés,INAI
2023,DENT23,PMO200,2,XXX,CF,3,A,9,Pensamiento matemático II,Pensamiento matemático II,PMO2
2023,DENT23,IEDE00,2,XXX,CF,4,A,9,Interacción de la energía y dinámica en los ecosistemas,Interacción de la energía y dinámica en los ecosistemas,IEDE
2023,DENT23,ECCH00,2,XXX,CF,5,A,4.5,Experiencias de la colectividad en mi construcción humana,Experiencias de la colectividad en mi construcción humana,ECCH
2023,DENT23,ISII00,2,XXX,CF,6,A,4.5,Interacción social II,Interacción social II,ISII
2023,DENT23,FSO200,2,XXX,CA,7,A,4.5,Formación socioemocional II,Formación socioemocional II,FSO2
2023,DENT23,IEST03,2,XXX,CL,8,A,8,Identificación de la estructura y función del aparato estomatognático,Identificación de la estructura y función del aparato estomatognático,IEST
2023,DENT23,COLS06,2,XXX,CL,9,A,6,Conducta profesional y legislación en salud,Conducta profesional y legislación en salud,COLS
2023,DENT23,PODO04,2,XXX,CL,10,A,16,Propedéutica odontológica I,Propedéutica odontológica I,PODO
2023,DENT23,ITII20,3,XXX,CF,1,A,6.75,Interacción independiente en inglés,Interacción independiente en inglés,ITII
2023,DENT23,PMO320,3,XXX,CF,2,A,9,Pensamiento matemático III,Pensamiento matemático III,PMO3
2023,DENT23,AFNS20,3,XXX,CF,3,A,4.5,Análisis en la formación de nuevas sustancias,Análisis en la formación de nuevas sustancias,AFNS
